,camera,k_adc,full_well_e,full_well_dn,read_noise_e,read_noise_dn,bias_e,bias_dn,dark_current_e,dark_current_dn,DR,lin_min,lin_max,linearity,snr_max,t_exp_min,t_exp_max,expected_response,response
0,OROS-OTS,7.979,32049.0,4095.0,7.07,0.8860759493670887,0.0,0.0,8.8,1.102895099636546,73.12790138633359,-0.41,0.32,0.044999999999999984,179.0223449740283,0.0,0.0,0.0,0.0
1,OROS,4.863494903079309,19535.04801965018,4095.0,7.07,1.4536871408097185,31.916,4.0,8.8,1.8093984213756045,68.82790138633358,-0.41,0.32,0.044999999999999984,139.76783614140336,0.0,0.0,0.0,0.0
2,OROCHI,4.8828125,20000.0,4095.0,10.0,2.048,0.0,0.0,2.6,0.5324800000000001,66.02059991327963,0.0,0.0,0.0,141.4213562373095,0.0,0.0,0.0,0.0
3,Camera 0: 850 nm,4.763849568103117,18253.062707380195,3831.578316325436,4.95503973382008,1.04013354388793,25.26355111302424,5.303179865749571,5.137631469690834,1.0784621546596296,71.32577208819785,-0.8343905357504342,0.22251724816349314,0.3059366437934705,135.10389597409912,0.15032492752948223,0.27438903286780225,6106.064279,14093.61509196627
4,Camera 1: 475 nm,4.731454188661365,17501.621524230886,3698.9941836850985,4.722041870260772,0.9980106922681087,24.152975996080936,5.1047680127521975,5.185457368949047,1.0959542589201587,71.37896908536148,-0.6822615434133712,0.2601207046031311,0.21107041940512006,132.29369419677903,0.11116229251825889,0.194552037142041,34660.711142,19143.76318205513
5,Camera 2: 400 nm,4.721295499973046,17443.796258129063,3694.705459175061,4.5935058389691035,0.9729333482717462,23.478412919731216,4.972875118675638,7.103682068296547,1.5046044180748912,71.58993465508397,-0.7899588305633273,0.2633854155012061,0.2632867075310606,132.07496453957148,0.5201219121511351,0.9072900664952903,33909.12021,4110.403456479894
6,Camera 3: 550 nm,4.705678680963362,17449.00035167134,3708.0730612271905,4.722597175129083,1.003595335617403,24.49361793656156,5.2051190906105695,6.658146497677481,1.414917368797991,71.3517929679368,-0.626354560730758,0.4391761737040323,0.09358919351336287,132.0946643573136,0.033057298566662834,0.057681681431500424,34660.683017,64723.01221666487
7,Camera 4: 725 nm,4.780645411491615,17891.36471419916,3742.4580102076334,4.788942563288367,1.0017355714725897,24.671086902729524,5.160618447757218,6.024027183784926,1.2600865919284656,71.44807681099604,-0.3920089785348171,0.5841622053477291,0.09607661340645601,133.7586061313408,0.017899467489480424,0.03202459010442451,19333.888021,117274.24324169231
8,Camera 5: 950 nm,4.682334491282034,17607.799407180417,3760.474489800784,3.68577394964254,0.7871658798629243,20.75192439416159,4.431961115293937,6.771465463726465,1.4461729456394352,73.5835277154165,-0.9734298098928614,0.20659717954533796,0.38341631517376173,132.6943834801625,0.7574290251675232,1.333665834032596,3166.538335,2850.078256983695
9,Camera 6: 650 nm,4.8283777401805485,18008.28196524032,3729.675459187858,4.865881297326559,1.0077673204467652,25.25597354207993,5.230736885373746,6.094638332272273,1.2622538376718584,71.36621543740699,-0.7198550568188844,0.30064664287848736,0.20960420697019852,134.19494016258705,0.06251567969903318,0.11257999872688393,31148.687877,33400.63935747418
10,Camera 7: 550 nm,4.78820304036705,17720.06845841001,3700.776326530138,5.45461905589763,1.1391787294549427,23.959992630242624,5.003963371696518,6.19972932179874,1.294792486770462,70.23401940003802,-0.5127459556242504,0.5588674124772016,0.023060728426475607,133.11674747532712,0.034523748839120356,0.06117631928701658,34660.683017,60830.978975012724
